,raw_time,raw_win_pct,clean_time,NYG_win_pct
0,14:55 - 1st),TEN 76.2%,5,23.799999999999997
1,14:17 - 1st),TEN 76.3%,43,23.700000000000003
2,13:31 - 1st),TEN 77.2%,89,22.799999999999997
3,13:03 - 1st),TEN 79.5%,117,20.5
4,12:48 - 1st),TEN 77.7%,132,22.299999999999997
5,12:06 - 1st),TEN 80.7%,174,19.299999999999997
6,11:25 - 1st),TEN 79.7%,215,20.299999999999997
7,10:42 - 1st),TEN 83.8%,258,16.200000000000003
8,9:48 - 1st) ,TEN 85.8%,312,14.200000000000003
9,9:44 - 1st) ,TEN 85.4%,316,14.599999999999994
10,9:10 - 1st) ,TEN 84.0%,350,16.0
11,8:30 - 1st) ,TEN 84.8%,390,15.200000000000003
12,7:49 - 1st) ,TEN 85.4%,431,14.599999999999994
13,7:17 - 1st) ,TEN 85.9%,463,14.099999999999994
14,6:57 - 1st) ,TEN 86.2%,483,13.799999999999997
15,6:19 - 1st) ,TEN 85.7%,521,14.299999999999997
16,6:10 - 1st) ,TEN 84.0%,530,16.0
17,5:34 - 1st) ,TEN 85.1%,566,14.900000000000006
18,4:48 - 1st) ,TEN 83.1%,612,16.900000000000006
19,4:30 - 1st) ,TEN 84.3%,630,15.700000000000003
20,3:48 - 1st) ,TEN 84.9%,672,15.099999999999994
21,3:02 - 1st) ,TEN 85.4%,718,14.599999999999994
22,2:16 - 1st) ,TEN 84.3%,764,15.700000000000003
23,2:09 - 1st) ,TEN 83.2%,771,16.799999999999997
24,1:23 - 1st) ,TEN 85.1%,817,14.900000000000006
25,0:47 - 1st) ,TEN 85.0%,853,15.0
26,0:41 - 1st) ,TEN 83.8%,859,16.200000000000003
27,15:00 - 2nd),TEN 87.6%,900,12.400000000000006
28,14:14 - 2nd),TEN 88.5%,946,11.5
29,13:36 - 2nd),TEN 87.3%,984,12.700000000000003
30,12:51 - 2nd),TEN 87.1%,1029,12.900000000000006
31,12:44 - 2nd),TEN 86.2%,1036,13.799999999999997
32,12:35 - 2nd),TEN 88.1%,1045,11.900000000000006
33,12:08 - 2nd),TEN 86.0%,1072,14.0
34,11:41 - 2nd),TEN 86.1%,1099,13.900000000000006
35,11:11 - 2nd),TEN 85.0%,1129,15.0
36,10:38 - 2nd),TEN 86.1%,1162,13.900000000000006
37,10:06 - 2nd),TEN 90.8%,1194,9.200000000000003
38,10:00 - 2nd),TEN 90.2%,1200,9.799999999999997
39,9:29 - 2nd) ,TEN 90.2%,1231,9.799999999999997
40,9:25 - 2nd) ,TEN 91.3%,1235,8.700000000000003
41,9:11 - 2nd) ,TEN 93.2%,1249,6.799999999999997
42,8:33 - 2nd) ,TEN 92.4%,1287,7.599999999999994
43,7:50 - 2nd) ,TEN 91.8%,1330,8.200000000000003
44,7:07 - 2nd) ,TEN 91.0%,1373,9.0
45,6:51 - 2nd) ,TEN 91.7%,1389,8.299999999999997
46,6:15 - 2nd) ,TEN 90.7%,1425,9.299999999999997
47,5:29 - 2nd) ,TEN 91.2%,1471,8.799999999999997
48,4:56 - 2nd) ,TEN 91.5%,1504,8.5
49,4:14 - 2nd) ,TEN 92.3%,1546,7.700000000000003
50,4:03 - 2nd) ,TEN 91.3%,1557,8.700000000000003
51,3:16 - 2nd) ,TEN 90.9%,1604,9.099999999999994
52,3:12 - 2nd) ,TEN 92.5%,1608,7.5
53,2:33 - 2nd) ,TEN 93.4%,1647,6.599999999999994
54,2:00 - 2nd) ,TEN 92.9%,1680,7.099999999999994
55,1:13 - 2nd) ,TEN 92.5%,1727,7.5
56,1:05 - 2nd) ,TEN 92.1%,1735,7.900000000000006
57,0:59 - 2nd) ,TEN 91.3%,1741,8.700000000000003
58,0:31 - 2nd) ,TEN 91.5%,1769,8.5
59,0:24 - 2nd) ,TEN 92.0%,1776,8.0
60,0:16 - 2nd) ,TEN 91.9%,1784,8.099999999999994
61,0:08 - 2nd) ,TEN 92.0%,1792,8.0
62,15:00 - 3rd),TEN 93.5%,1800,6.5
63,14:55 - 3rd),TEN 91.9%,1805,8.099999999999994
64,14:16 - 3rd),TEN 92.4%,1844,7.599999999999994
65,13:35 - 3rd),TEN 90.4%,1885,9.599999999999994
66,12:58 - 3rd),TEN 91.9%,1922,8.099999999999994
67,12:45 - 3rd),TEN 86.3%,1935,13.700000000000003
68,12:08 - 3rd),TEN 86.4%,1972,13.599999999999994
69,11:39 - 3rd),TEN 83.0%,2001,17.0
70,11:16 - 3rd),TEN 80.8%,2024,19.200000000000003
71,11:07 - 3rd),TEN 78.8%,2033,21.200000000000003
72,10:29 - 3rd),TEN 79.2%,2071,20.799999999999997
73,9:44 - 3rd) ,TEN 77.6%,2116,22.400000000000006
74,9:39 - 3rd) ,TEN 78.6%,2121,21.400000000000006
75,9:28 - 3rd) ,TEN 80.3%,2132,19.700000000000003
76,8:48 - 3rd) ,TEN 61.2%,2172,38.8
77,8:06 - 3rd) ,TEN 63.5%,2214,36.5
78,7:36 - 3rd) ,TEN 61.5%,2244,38.5
79,7:17 - 3rd) ,TEN 66.8%,2263,33.2
80,6:39 - 3rd) ,TEN 69.0%,2301,31.0
81,5:59 - 3rd) ,TEN 67.7%,2341,32.3
82,5:13 - 3rd) ,TEN 70.5%,2387,29.5
83,4:08 - 3rd) ,TEN 72.1%,2452,27.900000000000006
84,3:27 - 3rd) ,TEN 73.4%,2493,26.599999999999994
85,3:22 - 3rd) ,TEN 70.2%,2498,29.799999999999997
86,2:54 - 3rd) ,TEN 82.9%,2526,17.099999999999994
87,2:14 - 3rd) ,TEN 84.0%,2566,16.0
88,1:36 - 3rd) ,TEN 86.3%,2604,13.700000000000003
89,0:53 - 3rd) ,TEN 82.9%,2647,17.099999999999994
90,0:42 - 3rd) ,TEN 83.0%,2658,17.0
91,15:00 - 4th),TEN 81.6%,2700,18.400000000000006
92,14:41 - 4th),TEN 79.8%,2719,20.200000000000003
93,14:36 - 4th),TEN 83.2%,2724,16.799999999999997
94,14:23 - 4th),TEN 80.6%,2737,19.400000000000006
95,13:38 - 4th),TEN 83.0%,2782,17.0
96,13:05 - 4th),TEN 83.6%,2815,16.400000000000006
97,12:23 - 4th),TEN 79.2%,2857,20.799999999999997
98,11:52 - 4th),TEN 84.1%,2888,15.900000000000006
99,11:13 - 4th),TEN 79.6%,2927,20.400000000000006
100,10:44 - 4th),TEN 86.5%,2956,13.5
101,10:38 - 4th),TEN 67.0%,2962,33.0
102,10:28 - 4th),TEN 71.6%,2972,28.400000000000006
103,9:41 - 4th) ,TEN 72.3%,3019,27.700000000000003
104,8:55 - 4th) ,TEN 87.8%,3065,12.200000000000003
105,8:50 - 4th) ,TEN 85.4%,3070,14.599999999999994
106,8:21 - 4th) ,TEN 89.7%,3099,10.299999999999997
107,8:00 - 4th) ,TEN 90.6%,3120,9.400000000000006
108,7:15 - 4th) ,TEN 90.9%,3165,9.099999999999994
109,6:26 - 4th) ,TEN 85.2%,3214,14.799999999999997
110,5:27 - 4th) ,TEN 85.0%,3273,15.0
111,5:01 - 4th) ,TEN 84.5%,3299,15.5
112,4:31 - 4th) ,TEN 82.6%,3329,17.400000000000006
113,4:00 - 4th) ,TEN 77.7%,3360,22.299999999999997
114,3:27 - 4th) ,TEN 71.2%,3393,28.799999999999997
115,2:48 - 4th) ,TEN 77.3%,3432,22.700000000000003
116,2:05 - 4th) ,TEN 82.6%,3475,17.400000000000006
117,1:54 - 4th) ,TEN 66.5%,3486,33.5
118,1:23 - 4th) ,TEN 64.5%,3517,35.5
119,1:09 - 4th) ,TEN 63.0%,3531,37.0
120,1:06 - 4th) ,NYG 71.2%,3534,71.2
121,0:45 - 4th) ,NYG 78.7%,3555,78.7
122,0:37 - 4th) ,NYG 71.0%,3563,71.0
123,0:29 - 4th) ,NYG 55.3%,3571,55.3
124,0:18 - 4th) ,TEN 64.8%,3582,35.2
125,0:04 - 4th) ,NYG 99.9%,3596,99.9
126,0:00 - 4th) ,NYG 100%,3600,100.0
